commit_hash,parent_commit,commit_date,package_path,pre_pname,pre_version,pre_fetcher_type,pre_fetcher_content,pre_builder_type,pre_nixpkgs_base,post_pname,post_version,post_fetcher_type,post_fetcher_content,post_builder_type,post_nixpkgs_base,version_changed,fetcher_hash_changed,fetcher_url_changed,fetcher_type_changed,builder_changed,change_category,diff_lines_added,diff_lines_removed,diff_lines_total,previous_update_date,previous_update_commit,days_since_previous_update,package_added_date,input_drvs_match,input_drvs_diff_count,random_order,post_src_ref,post_src_ref_attr,nurl_supported
4eb419e295309c30b48c167abd7c79e4fe9bc00a,3b837fa81a2be3f89f97a5a90975cbd2191af803,2025-09-29,pkgs/by-name/gl/gleam/package.nix,gleam,1.12.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""gleam-lang"";␤    repo = ""gleam"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-Qjl+I09tnBbGc771SVJVb6fzAZ2tVOnBNhGfrIUh824="";␤  }",buildRustPackage,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,gleam,1.13.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""gleam-lang"";␤    repo = ""gleam"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-06ap5z1vtv2Rsd98LcLRpvxff1NfkuHNdI844DZuEhQ="";␤  }",buildRustPackage,9547cfd27b5158eb612a6812dfc5c7b3d118b996,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,3,3,6,2025-07-18,deef2074f14559dd1ac62d57347ea7a047efac19,73,2025-04-17,FALSE,6,1,v1.13.0,tag,yes
0afa0fafce2489f8641d9a8b656487e218ff74ec,c231242f00f120aa8523290fbfdbfdadd3818c66,2025-10-18,pkgs/by-name/ra/ramalama/package.nix,ramalama,0.12.3,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""containers"";␤    repo = ""ramalama"";␤    tag = ""v${version}"";␤    hash = ""sha256-PnuAPQ9RF7IRnmHtUrwDRXIKEzZBDEU2mWfG5FyfY0c="";␤  }",buildPythonApplication,34761aab73dd38c9b61f92838c9055a96e46593c,ramalama,0.13.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""containers"";␤    repo = ""ramalama"";␤    tag = ""v${version}"";␤    hash = ""sha256-S4TZN+vExZ/5KJOgkhwlX0p+xPDI6tjmS2WDWgXzDOI="";␤  }",buildPythonApplication,34761aab73dd38c9b61f92838c9055a96e46593c,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,18,11,29,2025-10-03,79847f67b982038a2a8cc8989da764e197f54298,15,2025-05-10,FALSE,2,2,v0.13.0,tag,yes
b9e30a0bb6d4ed9b3cc78ba9a4fdec26d6fb1807,3dbb3a5929fb63cfba97c71148875d21963b839e,2025-10-18,pkgs/by-name/sb/sbctl/package.nix,sbctl,0.17,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Foxboron"";␤    repo = ""sbctl"";␤    tag = version;␤    hash = ""sha256-7dCaWemkus2GHxILBEx5YvzdAmv89JfcPbqZZ6QwriI"";␤  }",buildGoModule,36226520e9f7a35bf341cbe3b6a1ff9047bec6d9,sbctl,0.18,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Foxboron"";␤    repo = ""sbctl"";␤    tag = version;␤    hash = ""sha256-Q8uQ74XvteMRcnUPu1PjLAPWt3jeI7aF4m3QMjiZJis="";␤  }",buildGoModule,36226520e9f7a35bf341cbe3b6a1ff9047bec6d9,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,6,1,7,2025-07-22,5a0711127cd8b916c3d3128f473388c8c79df0da,88,2024-05-25,FALSE,2,3,0.18,tag,yes
924ad3375bf8c09d55d2f8e30b2daf5fa9562cb3,ace9daf9c87da128ab31f82e211fcc60ff99080b,2025-10-17,pkgs/by-name/uc/uclient/package.nix,uclient,unstable-2023-04-13,fetchgit,"fetchgit {␤    url = ""https://git.openwrt.org/project/uclient.git"";␤    rev = ""007d945467499f43656b141171d31f5643b83a6c"";␤    hash = ""sha256-A47dyVc2MtOL6aImZ0b3SMWH2vzjfAXzRAOF4nfH6S0="";␤  }",mkDerivation,34761aab73dd38c9b61f92838c9055a96e46593c,uclient,unstable-2025-10-03,fetchgit,"fetchgit {␤    url = ""https://git.openwrt.org/project/uclient.git"";␤    rev = ""dc909ca71bc884c0e5362e1d7cc7808696cb2add"";␤    hash = ""sha256-jrhLBB3Mb7FvxMtKxG7e7D/hcyygTjx868POGtF+Dcc="";␤  }",mkDerivation,34761aab73dd38c9b61f92838c9055a96e46593c,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,7,1,8,2024-12-10,4f0dadbf38ee4cf4cc38cbc232b7708fddf965bc,311,2024-11-09,FALSE,2,4,dc909ca71bc884c0e5362e1d7cc7808696cb2add,rev,yes
a712978dca991b6e39feb99727a974d0d65676f2,8913c168d1c56dc49a7718685968f38752171c3b,2025-10-07,pkgs/by-name/py/pystring/package.nix,pystring,1.1.4-unstable-2025-06-23,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""imageworks"";␤    repo = ""pystring"";␤    rev = ""02ef1186d6b77bc35f385bd4db2da75b4736adb7"";␤    hash = ""sha256-M0/nDxeRo8NBQ3/SvBc0i5O4ImIP/A8ry/jA27dLybg="";␤  }",mkDerivation,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,pystring,1.1.4-unstable-2025-10-07,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""imageworks"";␤    repo = ""pystring"";␤    rev = ""a09708a4870db7862e1a1aa42658c8e6e36547e7"";␤    hash = ""sha256-S43OkXcOCzPds2iDLunqg9a1zOiODo2dB9ReuOfe7Bw="";␤  }",mkDerivation,bce5fe2bb998488d8e7e7856315f90496723793c,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,8,2,10,2025-09-22,ce7e308c1a42640b90cfc8f909e80c3637f9f272,15,2024-11-09,FALSE,4,5,a09708a4870db7862e1a1aa42658c8e6e36547e7,rev,yes
52816fb87c5d3c454be1b8c66f50713eae2ec2fe,f9298006670ea29975508db7b9271fa7e3170df3,2025-10-11,pkgs/by-name/en/entwine/package.nix,entwine,3.1.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""connormanning"";␤    repo = ""entwine"";␤    rev = version;␤    sha256 = ""sha256-1dy5NafKX0E4MwFIggnr7bQIeB1KvqnNaQQUUAs6Bq8="";␤  }",mkDerivation,870493f9a8cb0b074ae5b411b2f232015db19a65,entwine,3.2.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""connormanning"";␤    repo = ""entwine"";␤    rev = version;␤    hash = ""sha256-RpUV75Dlyd3wTWGC3btpAFSjqpgK9zLXTl670Oh0Z2o="";␤  }",mkDerivation,362791944032cb532aabbeed7887a441496d5e6e,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,4,0,4,2025-04-20,05580f4b4433fda48fff30f60dfd303d6ee05d21,174,2024-11-09,FALSE,2,6,3.2.0,rev,yes
a418816bb763715fc59f1c99aefd703819d3cabd,ba9e09cc7687acec60caf56538faae54f4a5f960,2025-10-11,pkgs/by-name/bs/bsc/package.nix,bsc,3.3.6,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""IlyaGrebnov"";␤    repo = ""libbsc"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-iUFKTDSAg2/57TPvR0nlmfVN2Z6O9kZKIg+BQQKvr/o="";␤  }",mkDerivation,362791944032cb532aabbeed7887a441496d5e6e,bsc,3.3.12,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""IlyaGrebnov"";␤    repo = ""libbsc"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-3dFwmThnDzbXB6m/rDfbSz4DZAlIsm4gUOT7YwexpKA="";␤  }",mkDerivation,362791944032cb532aabbeed7887a441496d5e6e,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,8,12,20,2025-10-11,ba9e09cc7687acec60caf56538faae54f4a5f960,0,2024-07-25,FALSE,1,7,v3.3.12,tag,yes
c985b93fe200aaffd5e537f9209d2233832a4126,6f49de061ba61fe7217b1d333bdc392cabfe0ce1,2025-10-11,pkgs/by-name/gi/git-gone/package.nix,git-gone,1.2.5,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""swsnr"";␤    repo = ""git-gone"";␤    tag = ""v${version}"";␤    hash = ""sha256-4BhFombZCmv/GNG2OcNlWNKTk2h65yKn1ku734gCBCQ="";␤  }",buildRustPackage,362791944032cb532aabbeed7887a441496d5e6e,git-gone,1.3.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""swsnr"";␤    repo = ""git-gone"";␤    tag = ""v${version}"";␤    hash = ""sha256-/8ujbZ7FQTZzTG4HnHg6v3rWhxt2PuSGwIJpBVTxhfM="";␤  }",buildRustPackage,362791944032cb532aabbeed7887a441496d5e6e,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,1,20,21,2025-07-15,398b16e16cc688d8ffcf820d1ec50a55da44a108,88,2025-05-05,FALSE,2,8,v1.3.1,tag,yes
c6ceb03fdf8468ea7c1fcfbbf41fc4c8d8a18c59,121cab05fec2629b8b381153e2ee33ed280af3fc,2025-10-09,pkgs/by-name/li/libbladeRF/package.nix,libbladeRF,2.5.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Nuand"";␤    repo = ""bladeRF"";␤    tag = ""libbladeRF_v${version}"";␤    hash = ""sha256-H40w5YKp6M3QLrsPhILEnJiWutCYLtbgC4a63sV397Q="";␤    fetchSubmodules = true;␤  }",mkDerivation,2dad7af78a183b6c486702c18af8a9544f298377,libbladeRF,2025.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Nuand"";␤    repo = ""bladeRF"";␤    tag = version;␤    hash = ""sha256-gp+OnAlECGZs4+JEWNX5Gt7LYdTFJUItpmDdJgeoJO4="";␤    fetchSubmodules = true;␤  }",mkDerivation,2dad7af78a183b6c486702c18af8a9544f298377,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,4,6,10,2025-07-31,7091e75f78a96fe617a1711eb9f13f4a58c439d1,70,2024-11-09,FALSE,2,9,2025.1,tag,yes
38223d38fb638cfceb4e445639a5f714a8711bbb,e643dd6b5f2b4567dc7cd79d1c13d73f20440e1d,2025-10-09,pkgs/by-name/sn/snallygaster/package.nix,snallygaster,0.0.14,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""hannob"";␤    repo = ""snallygaster"";␤    tag = ""v${version}"";␤    hash = ""sha256-H5rptK12p5dRKYjoQ6Nr8hxq8pL/3jFDgX1gnRZABTo="";␤  }",buildPythonApplication,fb5cf53218b987f2703a5bbc292a030c0fe33443,snallygaster,0.0.15,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""hannob"";␤    repo = ""snallygaster"";␤    tag = ""v${version}"";␤    hash = ""sha256-t6xNRPISlPaxlwW/infW9qnxguc/wF7XpbFPzZRcgDA="";␤  }",buildPythonApplication,fb5cf53218b987f2703a5bbc292a030c0fe33443,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,4,5,9,2025-09-08,2c7e3d7af640eb3d1afa895692b8b209fb7a0433,31,2024-11-09,FALSE,1,10,v0.0.15,tag,yes
c671bc5a5ef5762147533a875a72b16681a957fd,720964439d71f7f662a60d7008968ae6988d6e3c,2025-10-08,pkgs/by-name/bl/blint/package.nix,blint,2.4.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""owasp-dep-scan"";␤    repo = ""blint"";␤    tag = ""v${version}"";␤    hash = ""sha256-mGeC7+YzQWSlT3sW2la/f21fN8V+YoFd4fwj/PBPCMI="";␤  }",buildPythonApplication,fb5cf53218b987f2703a5bbc292a030c0fe33443,blint,3.0.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""owasp-dep-scan"";␤    repo = ""blint"";␤    tag = ""v${version}"";␤    hash = ""sha256-9Hc6tv0oVtgaH3qOVDJvxkXteHkkqzLdA7iHLNRqCdk="";␤  }",buildPythonApplication,fb5cf53218b987f2703a5bbc292a030c0fe33443,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,2,1,3,2025-08-07,3a74dd53e86e2a159b52c499953ef3b9a500843b,62,2025-06-30,FALSE,1,11,v3.0.0,tag,yes
0c1e41a982b465aeadb729371d01a4e773afbd34,2ca437b4796d049192eb30576a50fef139038c09,2025-09-13,pkgs/by-name/sy/systemd-lsp/package.nix,systemd-lsp,0.1.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""JFryy"";␤    repo = ""systemd-lsp"";␤    rev = ""43e0a26b12653b97939612ce8f4e2f3bae562ea1"";␤    hash = ""sha256-l2/8khzXZjyga4nEdl4pcl3AOscCBxZHH3tW3Cv+RUk="";␤  }",buildRustPackage,ab6de70223e1d4c475e0dbac6aaa37fbfdf4d08c,systemd-lsp,2025.07.14,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""JFryy"";␤    repo = ""systemd-lsp"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-JjrPgpQ94C01nZ3E1NE88TBzI03YFs+x37edtYStlnc="";␤  }",buildRustPackage,ab6de70223e1d4c475e0dbac6aaa37fbfdf4d08c,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,2,11,13,2025-06-27,8715ab821b17e35d93d3d5c9b6e040413fe419de,78,2025-06-27,FALSE,1,12,v2025.07.14,tag,yes
79dc80a5bc5c03a8e2cccd2674362c25b4708874,eb3ba68d6a7306778a1e6379602e5b02363e195e,2025-10-08,pkgs/by-name/oc/oculante/package.nix,oculante,0.9.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""woelper"";␤    repo = ""oculante"";␤    rev = version;␤    hash = ""sha256-3kDrsD24/TNcA7NkwwCHN4ez1bC5MP7g28H3jaO/M7E="";␤  }",buildRustPackage,8b5c9dd8856f0c0cf46cc91f2c21c106a9d42e25,oculante,0.9.2.1-unstable-2025-10-08,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""woelper"";␤    repo = ""oculante"";␤    rev = ""51b9f70b35e09850baee85971720b8d3ac49c80b"";␤    hash = ""sha256-YTrUucO1Fq2TgnV/HHkx2fcHvBupeoMpiBSwqIvyHaQ="";␤  }",buildRustPackage,8b5c9dd8856f0c0cf46cc91f2c21c106a9d42e25,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,5,1,6,2025-07-15,398b16e16cc688d8ffcf820d1ec50a55da44a108,85,2024-11-09,FALSE,1,13,51b9f70b35e09850baee85971720b8d3ac49c80b,rev,yes
587157a9dd7e0a101879f95ad44d150171e1ccae,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,2025-09-04,pkgs/by-name/mo/moon/package.nix,moon,1.38.5,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""moonrepo"";␤    repo = ""moon"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-jWLyg7K+ucCsrHwFNrpmWAXznSD+3TaYGfbZ2hWlnP0="";␤  }",buildRustPackage,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,moon,1.41.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""moonrepo"";␤    repo = ""moon"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-pBuCKwBLIDv+UANyKGKbPC9am8YYgTKLF0fY2WLpOVg="";␤  }",buildRustPackage,c6a788f552b7b7af703b1a29802a7233c0067908,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,3,1,4,2025-07-17,9e261013657b63c155c6dd7b0791e9c354ad52e9,49,2025-04-19,FALSE,1,14,v1.41.2,tag,yes
f8b2809cc50ceb5eb3bfe52d53d82671d07f3c45,2e91e3ba315ae2dc645e34bdf1b70510ee3bcbdf,2025-09-28,pkgs/by-name/ma/mapnik/package.nix,mapnik,4.1.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""mapnik"";␤    repo = ""mapnik"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-+PCN3bjLGqfK4MF6fWApnSua4Pn/mKo2m9CY8/c5xC4="";␤    fetchSubmodules = true;␤  }",mkDerivation,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,mapnik,4.1.3,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""mapnik"";␤    repo = ""mapnik"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-jbtVJHTAeKGpb6PtcK9Tt4qA6dsECwLSQG9JGsHJjvY="";␤    fetchSubmodules = true;␤  }",mkDerivation,e9f00bd893984bc8ce46c895c3bf7cac95331127,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,4,0,4,2025-06-28,de3616195b79fb688fc49e2c9a8d148fa0f28e62,92,2025-06-07,FALSE,2,15,v4.1.3,tag,yes
20f68e9d4c643c8f7d3786ab03b9cf4e1b907e77,697ef599ace7684291636a9fa6da31cf30fc8b3a,2025-10-05,pkgs/by-name/po/podman-desktop/package.nix,podman-desktop,1.21.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""containers"";␤    repo = ""podman-desktop"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-Wio+lETdsDhcZvluKV6gUqjT0lTE9nYL5TqPLCR4Kr0="";␤  }",mkDerivation,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,podman-desktop,1.22.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""containers"";␤    repo = ""podman-desktop"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-gq4RMODR7AESMAGpg6ga5LS5SrpWD6pPe6dZ+Rx7a/g="";␤  }",mkDerivation,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,3,3,6,2025-09-30,c8d4dabc4357a22d1c249a9363998bdb00122544,5,2025-03-09,FALSE,4,16,v1.22.0,tag,yes
1999606c8ce9812841cbf6f3cd98c05de73679d9,e9f00bd893984bc8ce46c895c3bf7cac95331127,2025-10-02,pkgs/by-name/ca/cage/package.nix,cage,0.2.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""cage-kiosk"";␤    repo = ""cage"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-2SFtz62z0EF8cpFTC6wGi125MD4a5mkXqP/C+7fH+3g="";␤  }",mkDerivation,e9f00bd893984bc8ce46c895c3bf7cac95331127,cage,0.2.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""cage-kiosk"";␤    repo = ""cage"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-P9MhIl2YIE2hwT5Yr0Cpes5S12evb0aj9oOPLeehkw0="";␤  }",mkDerivation,625ad6366178f03acd79f9e3822606dd7985b657,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,3,3,6,2025-09-02,aa725fdeba9963ed389ff641aaf6209988adda7d,30,2025-04-19,FALSE,2,17,v0.2.1,tag,yes
d026e4d7fb7942798536eae6f31abf10490e3b60,d12318669276c1eaaa5c12940906742334067274,2025-09-26,pkgs/by-name/sn/snakefmt/package.nix,snakefmt,0.11.0,fetchPypi,"fetchPypi {␤    inherit pname version;␤    hash = ""sha256-r8O5LhA8/agP/35381f2zB2rdCJy7nY0K6NC8w5yHzA="";␤  }",buildPythonApplication,e57b3b16ad8758fd681511a078f35c416a8cc939,snakefmt,0.11.2,fetchPypi,"fetchPypi {␤    inherit pname version;␤    hash = ""sha256-6a03WEAeApH3pFNgB1xXODhrWKGxYNOIJ7QGMNn3NeE="";␤  }",buildPythonApplication,e57b3b16ad8758fd681511a078f35c416a8cc939,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,5,4,9,2025-03-29,6e751da348fd6f9ef76f50d4f26d6aeb73c6cba0,181,2025-01-07,FALSE,4,18,,,yes
c608c3b8b4fd89ee3e6ed1c0ebe09f2f3e38c52e,edf29d70215dbe6aea53048ad61e685caf7b3c82,2025-09-30,pkgs/by-name/li/libomemo-c/package.nix,libomemo-c,0.5.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""dino"";␤    repo = ""libomemo-c"";␤    rev = ""v${version}"";␤    hash = ""sha256-GvHMp0FWoApbYLMhKfNxSBel1xxWWF3TZ4lnkLvu2s4="";␤  }",mkDerivation,9547cfd27b5158eb612a6812dfc5c7b3d118b996,libomemo-c,0.5.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""dino"";␤    repo = ""libomemo-c"";␤    rev = ""v${version}"";␤    hash = ""sha256-HoZykdGVDsj4L5yN3SHGF5tjMq5exJyC15zTLBlpX/c="";␤  }",mkDerivation,9547cfd27b5158eb612a6812dfc5c7b3d118b996,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,19,4,23,2025-04-08,a19cd4ffb1f4b953a76f3ac29c6520d0b1877108,175,2023-12-16,FALSE,6,19,v0.5.1,rev,yes
